frame_index,compression_rank,threshold,reconstruction_error,is_novel_predicted,is_novel_truth,gate_ms,ai_called,ai_infer_ms,ai_e2e_ms,cpu_percent,memory_mb,timestamp
12,10,0.1000,0.159017,0,1,39.2549,0,0.0000,39.2575,0.00,389.12,1764816469.122660
13,10,0.1000,0.153990,0,1,41.0814,0,0.0000,41.0841,0.00,389.12,1764816469.172158
14,10,0.1000,0.178501,0,1,41.3814,0,0.0000,41.3840,0.00,389.12,1764816469.223882
15,10,0.1000,0.168873,0,0,40.4184,0,0.0000,40.4208,0.00,389.12,1764816469.276169
16,10,0.1000,0.058978,0,0,44.9445,0,0.0000,44.9476,0.00,389.12,1764816469.326792
17,10,0.1000,0.111261,0,0,40.9071,0,0.0000,40.9098,0.00,389.12,1764816469.382298
18,10,0.1000,0.124624,0,0,40.3328,0,0.0000,40.3354,0.00,389.13,1764816469.433777
19,10,0.1000,0.106114,0,0,42.6233,0,0.0000,42.6257,0.00,389.13,1764816469.485191
20,10,0.1000,0.171362,0,0,42.3081,0,0.0000,42.3105,0.00,389.13,1764816469.538759
21,10,0.1000,0.187924,0,0,43.4957,0,0.0000,43.4983,0.00,389.13,1764816469.591978
22,10,0.1000,0.165069,0,0,38.0154,0,0.0000,38.0180,0.00,389.13,1764816469.646401
23,10,0.1000,0.171648,0,0,44.3726,0,0.0000,44.3752,0.00,389.13,1764816469.695297
24,10,0.1000,0.145362,0,0,38.0797,0,0.0000,38.0824,0.00,389.13,1764816469.750045
25,10,0.1000,0.104806,0,0,38.1606,0,0.0000,38.1629,0.00,389.13,1764816469.799038
26,10,0.1000,0.117379,0,0,38.1923,0,0.0000,38.1947,0.00,389.13,1764816469.848089
27,10,0.1000,0.096884,0,0,37.4599,0,0.0000,37.4622,0.00,389.13,1764816469.897187
